,name,lat,lon,startup distance,startup lat,startup lon,design distance,design lat,design lon,starbucks distance,starbucks lat,starbucks lon,airport distance,airport lat,airport lon,school distance,school lat,school lon,club distance,club lat,club lon,vegan distance,vegan lat,vegan lon,stadium distance,stadium lat,stadium lon,pet services distance,pet services lat,pet services lon
21,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
22,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
23,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
24,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
25,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
26,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
27,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
28,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
29,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
30,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
31,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
32,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
33,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
34,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
35,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
36,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
37,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
38,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
39,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
40,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
41,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
42,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
43,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
44,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
45,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
46,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
47,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
48,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
49,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
50,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
51,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
52,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
53,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
54,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
55,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
56,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
57,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
58,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
59,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
60,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
61,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
62,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
63,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
64,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
65,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
66,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
67,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
68,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
69,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
70,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
71,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
72,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
73,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
74,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
75,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
76,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
77,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
78,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
79,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
